AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A1350923,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,,2024-08-12,MED SEV,STRAY,OTC,,2024-08-12,EUTH,,MED SEV,MONTEREY RD X UMBARGER RD,SAN JOSE,2024-08-12
A1350939,WEDNESDAY PEARL,KITTEN,GRAY,,DOMESTIC SH,SPAYED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-08,ADOPTION,,HEALTHY,RUE FERRARI X SILICON VALLEY BLVD,SAN JOSE,2024-09-08
A1350942,COCO,DOG,BLACK,WHITE,SIBERIAN HUSKY,FEMALE,,,2024-08-12,HEALTHY,STRAY,FIELD,,2024-08-12,RTO,,HEALTHY,14000 BLOCK STORY RD,SAN JOSE,2024-08-12
A1350946,SMOKEY,KITTEN,BLACK,,DOMESTIC SH,SPAYED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-07,ADOPTION,,,RUE FERRARI X SILICON VALLEY BLVD,SAN JOSE,2024-09-07
A1350947,,KITTEN,TABBY-BRN,,DOMESTIC SH,FEMALE,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-21,EUTH,,MED SEV,2600 BLOCK BAMBI LN / S CAPITOL AVE,SAN JOSE,2024-09-21
A1350948,,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-05,ADOPTION,,HEALTHY,RUE FERRARI X SILICON VALLEY BLVD,SAN JOSE,2024-09-05
A1350949,,KITTEN,GRAY,,DOMESTIC SH,NEUTERED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-08,ADOPTION,,HEALTHY,RUE FERRARI X SILICON VALLEY BLVD,SAN JOSE,2024-09-08
A1350950,TOBI,KITTEN,GRAY,,DOMESTIC SH,NEUTERED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-09,ADOPTION,,HEALTHY,RUE FERRARI X SILICON VALLEY BLVD,SAN JOSE,2024-09-09
A1350951,MAEVE,KITTEN,TORTIE-B\O,,DOMESTIC SH,SPAYED,2024-07-02,0,2024-08-12,MED R,STRAY,OTC,,2024-10-13,ADOPTION,,HEALTHY,2600 BLOCK BAMBI LN / S CAPITOL AVE,SAN JOSE,2024-10-13
A1350953,CALYPSO,KITTEN,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-06-26,0,2024-08-12,HEALTHY,STRAY,OTC,,2024-10-03,ADOPTION,,,2600 BLOCK BAMBI LN / S CAPITOL AVE,SAN JOSE,2024-10-03
A1350957,DJ MITTENS,KITTEN,WHITE,BLACK,DOMESTIC MH,NEUTERED,2024-06-12,0,2024-08-12,MED R,STRAY,OTC,,2024-11-03,ADOPTION,,HEALTHY,FLICKINGER AVE X ULSTER AVE,SAN JOSE,2024-11-03
A1350964,FRODO,KITTEN,TABBY-BUFF,,DOMESTIC MH,NEUTERED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-23,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-10-23
A1350965,BILBO,KITTEN,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-20,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-10-20
A1350966,,KITTEN,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-19,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2025-08-11
A1350967,,KITTEN,PT-LILAC,,DOMESTIC SH,SPAYED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-18,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-10-18
A1350968,,KITTEN,PT-CHOC,,DOMESTIC SH,NEUTERED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-18,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-10-18
A1350970,CUPCAKE,KITTEN,PT-CHOC,,DOMESTIC SH,SPAYED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-18,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-10-18
A1350971,,KITTEN,PT-CHOC,,DOMESTIC SH,FEMALE,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-08-20,DIED,,MED SEV,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2024-08-20
A1350972,,KITTEN,PT-CHOC,,DOMESTIC SH,SPAYED,2024-07-01,0,2024-08-12,MED R,STRAY,OTC,,2024-10-19,ADOPTION,,HEALTHY,SAN CARLOS X BUENA VISTA AVE,SAN JOSE,2025-08-11
A1350974,MARIE,CAT,WHITE,,DOMESTIC SH,SPAYED,2024-03-12,0,2024-08-12,HEALTHY,STRAY,OTC,,2024-08-28,ADOPTION,,HEALTHY,HEALTH ST/MARYLINN DR,MILPITAS,2024-08-28
A1350975,SNOW WHITE,CAT,WHITE,,DOMESTIC SH,SPAYED,2024-03-12,0,2024-08-12,HEALTHY,STRAY,OTC,,2024-08-28,ADOPTION,,HEALTHY,HEALTH ST/MARYLINN DR,MILPITAS,2024-08-28
A1350976,CANDY,KITTEN,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-12,0,2024-08-12,MED R,STRAY,OTC,,2024-09-06,RTF,,MED R,LAVA DR X LAVA WAY,SAN JOSE,2024-09-06
A1350988,,CAT,GRAY,WHITE,DOMESTIC SH,FEMALE,,,2024-08-12,MED R,STRAY,OTC,,2024-08-13,EUTH,,MED SEV,ROSE CREEK DR,SAN JOSE,2024-08-13
A1350989,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,,,2024-08-12,MED R,STRAY,OTC,,2024-08-17,EUTH,,MED SEV,ROSE CREEK DR,SAN JOSE,2024-08-17
A1351012,PEARL,CAT,WHITE,GRAY,SIAMESE,SPAYED,2017-06-27,7,2024-11-08,MED SEV,EUTH REQ,OTC OWNED,,2024-11-12,RTO,,MED SEV,,SAN JOSE,2024-11-12
A1351040,JONESY,KITTEN,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-06-07,0,2024-08-12,HEALTHY,STRAY,OTC,,2024-09-25,ADOPTION,,HEALTHY,ROCKTON AVE/PORT ROWAN DR,SAN JOSE,2024-09-25
A1351055,KONA,CAT,BRN TABBY,,DOMESTIC SH,SPAYED,2023-06-24,1,2024-09-03,MED R,STRAY,MEDVET,,2024-09-03,RTF,,FERAL,900 BLK MONTAGUE EXPY,MILPITAS,2024-09-03
A1351158,CHICA,DOG,BRINDLE-BN,WHITE,FRENCH BULLDOG,FEMALE,,,2024-10-27,HEALTHY,STRAY,OTC,,2024-10-27,RTO,,HEALTHY,UMBARGER RD / SENTER RD,SAN JOSE,2024-10-27
A1351228,BRUCE,DOG,BLACK,BROWN,DOBERMAN PINSCH,MALE,,,2024-08-12,BEH U,STRAY,OTC,,2024-08-12,EUTH,,BEH U,,SAN JOSE,2024-08-14
A1351230,,OTHER,WHITE,,GOOSE,UNKNOWN,,,2024-08-12,MED SEV,STRAY,OTC,,2024-08-12,REQ EUTH,,MED SEV,ADRIAN WAY X OCALA AVE,SAN JOSE,2024-08-12
A1351235,,KITTEN,BLACK,,DOMESTIC SH,NEUTERED,2024-06-01,0,2024-08-12,MED R,STRAY,OTC,,2024-08-22,RTF,,HEALTHY,PALMVIEW WAY/PALMWOOD DR,SAN JOSE,2024-08-22
A1351244,,CAT,TABBY-ORG,,DOMESTIC SH,UNKNOWN,,,2024-08-12,MED SEV,STRAY,OTC,,2024-08-13,EUTH,,MED SEV,EL CAJON DR/SENTER RD,SAN JOSE,2024-08-13
A1351246,,CAT,WHITE,TAN,DOMESTIC MH,NEUTERED,2020-08-13,4,2024-08-12,MED SEV,STRAY,FIELD,,2024-08-16,EUTH,,MED SEV,DELBERT WAY / PEDRO ST,SAN JOSE,2024-08-16
A1351247,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,,,2024-08-12,MED R,STRAY,FIELD,,2024-08-13,DIED,,MED SEV,BETH DR / DURANT AVE,SAN JOSE,2024-08-13
A1351252,LOLA,DOG,CREAM,,CHIHUAHUA SH,SPAYED,2023-10-29,0,2024-08-12,HEALTHY,STRAY,FIELD,,2024-11-05,ADOPTION,,HEALTHY,W SAN CARLOS X BARACK OBAMA,SAN JOSE,2024-11-05
A1351254,KALI ROSE,DOG,CREAM,BROWN,CHIHUAHUA SH,SPAYED,2022-04-29,2,2024-08-12,HEALTHY,STRAY,FIELD,,2024-08-28,RESCUE,,HEALTHY,W SAN CARLOS X BARACK OBAMA,SAN JOSE,2024-08-28
A1351262,,PUPPY,BLACK,WHITE,PIT BULL,SPAYED,2024-06-20,0,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-28,ADOPTION,,HEALTHY,E HEDDING ST X N 7TH ST,SAN JOSE,2024-08-28
A1351264,TROY,KITTEN,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-05-14,0,2024-08-13,MED R,STRAY,OTC,,2024-09-14,ADOPTION,,,MINUET DR X POETRY DR,SAN JOSE,2024-09-14
A1351264,TROY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-05-14,0,2024-09-19,MED R,RETURN,,,2024-09-27,ADOPTION,,,,SAN JOSE,2024-09-27
A1351265,CASPER,KITTEN,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-05-14,0,2024-08-13,MED R,STRAY,OTC,,2024-09-15,ADOPTION,,HEALTHY,MINUET DR X POETRY DR,SAN JOSE,2024-09-15
A1351266,TNR,CAT,GRAY,WHITE,DOMESTIC LH,SPAYED,,,2024-08-13,FERAL,STRAY,OTC,,2024-08-16,RTF,,HEALTHY,BORINA X PINE WOOD,SAN JOSE,2024-08-16
A1351267,,CAT,PT-FLAME,,DOMESTIC SH,NEUTERED,2023-04-13,1,2024-08-13,MED R,STRAY,OTC,,2024-08-14,RTF,,FERAL,VASONA ST X ALMADEN AVE,MILPITAS,2024-08-14
A1351269,TNR,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2024-08-13,PREGNANT,STRAY,OTC,,2024-08-13,RTF,,FERAL,N JACKSON AVE X PENITENCIA CRK TRL,SAN JOSE,2024-12-26
A1351273,TNR,CAT,GRAY,,DOMESTIC MH,SPAYED,,,2024-08-13,PREGNANT,STRAY,OTC,,2024-08-13,RTF,,FERAL,N JACKSON AVE X PENITENCIA CRK TRL,SAN JOSE,2024-12-26
A1351276,PEANUT,DOG,WHITE,BROWN,CHIHUAHUA LH,SPAYED,2023-08-19,0,2024-08-13,HEALTHY,STRAY,OTC,,2024-09-06,ADOPTION,,HEALTHY,CARENLIAN DR X SANTEE DR,SAN JOSE,2024-09-06
A1351278,TNR,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,,,2024-08-13,PREGNANT,STRAY,OTC,,2024-08-15,RTF,,FERAL,INDIGO DR X EDELWEISS DR,SAN JOSE,2024-12-26
A1351284,BOGART,CAT,WHITE,GRAY,DOMESTIC SH,NEUTERED,2021-08-23,2,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-31,ADOPTION,,HEALTHY,300 BLOCK S KING RD X MARGARET ST,SAN JOSE,2024-08-31
A1351292,,OTHER,GREEN,RED,TURTLE,UNKNOWN,,,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-18,RESCUE,,HEALTHY,RANCHO DR X SEVEN TREES BLVD,SAN JOSE,2024-08-18
A1351298,TNR,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,,2024-08-13,NURSING,STRAY,OTC,,2024-09-25,RTF,,FERAL,SINGLETON RD X HAGA DR,SAN JOSE,2024-09-25
A1351301,SPOOKIE,DOG,BLACK,WHITE,LABRADOR RETR,NEUTERED,2021-08-13,3,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-16,RTO,,,SILICON VALLEY BLVD X S VLY FWY,SAN JOSE,2024-08-16
A1351304,,KITTEN,TABBY-ORG,,DOMESTIC SH,MALE,2024-07-22,0,2024-08-13,NURSING,STRAY,OTC,,2024-10-01,TRANSFER,,HEALTHY,SINGLETON RD X HAGA DR,SAN JOSE,2024-10-01
A1351306,,KITTEN,TORTIE-DIL,,DOMESTIC SH,FEMALE,2024-07-22,0,2024-08-13,NURSING,STRAY,OTC,,2024-10-01,TRANSFER,,HEALTHY,SINGLETON RD X HAGA DR,SAN JOSE,2024-10-01
A1351311,,OTHER,BROWN,,TORTOISE,UNKNOWN,,,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-18,RESCUE,,HEALTHY,MIDFIELD AVE X SCOTTY ST,SAN JOSE,2024-08-18
A1351313,,OTHER,TRICOLOR,,GUINEA PIG,MALE,,,2024-08-13,MED R,STRAY,OTC,,2024-08-14,RESCUE,,MED R,N 1ST ST X VISTA MONTANA,SAN JOSE,2024-08-14
A1351328,FREYA,KITTEN,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-06,0,2024-08-13,MED R,STRAY,OTC,,2024-08-26,ADOPTION,,,ESCUELA PKWY X CIROLERO ST,MILPITAS,2024-08-26
A1351335,COCO,PUPPY,WHITE,,AUST TERRIER,NEUTERED,2024-06-07,0,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-27,ADOPTION,,HEALTHY,ROCKPORT AVE X PIEDMONT RD,SAN JOSE,2024-08-27
A1351340,CINDER,KITTEN,GRAY,,DOMESTIC SH,SPAYED,2024-05-22,0,2024-08-13,HEALTHY,STRAY,OTC,,2024-09-11,ADOPTION,,HEALTHY,WASHINGTON SQ X E SAN FERNANDO ST,SAN JOSE,2024-09-11
A1351359,YAHOO,DOG,WHITE,,NORFOLK TERRIER,NEUTERED,2021-08-13,3,2024-08-13,HEALTHY,STRAY,OTC,,2026-03-28,MISSING,,HEALTHY,S 5TH ST/ BESTOR ST,SAN JOSE,2026-03-28
A1351361,MOCHA,PUPPY,BROWN,,NORFOLK TERRIER,NEUTERED,2024-06-14,0,2024-08-13,HEALTHY,STRAY,OTC,,2024-08-27,ADOPTION,,HEALTHY,S 5TH ST/ BESTOR ST,SAN JOSE,2024-08-27
A1351383,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,,2024-08-13,MED SEV,STRAY,OTC,,2024-08-13,EUTH,,MED EMERG,BUCKNER DR/ROEHAMPTON AVE,SAN JOSE,2024-08-13
A1351394,GRIS,OTHER,GRAY,,RABBIT SH,MALE,,,2024-08-13,MED R,OWNER SUR,FIELD,,2024-08-15,RTO,,MED R,,SAN JOSE,2024-08-15
A1351395,REGITO,OTHER,TAN,GOLD,RABBIT SH,NEUTERED,,,2024-08-13,MED R,OWNER SUR,FIELD,,2024-08-15,RTO,,MED R,,SAN JOSE,2024-08-15
A1351409,GIRLY POP,KITTEN,BLACK,,DOMESTIC SH,SPAYED,2024-06-11,0,2024-08-14,HEALTHY,STRAY,OTC,,2024-09-12,ADOPTION,,HEALTHY,LICK AVE X W ALMA AVE,SAN JOSE,2024-09-12
A1351425,,CAT,ORANGE,WHITE,DOMESTIC SH,UNKNOWN,,,2024-08-14,NURSING,STRAY,MEDVET,,2024-08-15,EUTH,,MED SEV,3000 BLOCK ROSE CREEK DR,SAN JOSE,2024-08-15
A1351426,MANDY,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-04-14,0,2024-08-14,MED R,STRAY,MEDVET,,2024-11-15,ADOPTION,,HEALTHY,5800 BLOCK ROLIN WAY,SAN JOSE,2024-11-15
A1351427,,CAT,OTHER,,DOMESTIC SH,UNKNOWN,,,2024-08-14,NURSING,STRAY,MEDVET,,2024-08-15,RESCUE,,NURSING,CORNWALL DR,SAN JOSE,2024-08-15
A1351428,,CAT,OTHER,,DOMESTIC SH,MALE,,,2024-08-14,NURSING,STRAY,MEDVET,,2024-08-15,RESCUE,,NURSING,CORNWALL DR,SAN JOSE,2024-08-15
A1351429,,CAT,OTHER,,DOMESTIC SH,UNKNOWN,,,2024-08-14,NURSING,STRAY,MEDVET,,2024-08-15,RESCUE,,NURSING,CORNWALL DR,SAN JOSE,2024-08-15
A1351430,,CAT,OTHER,,DOMESTIC SH,UNKNOWN,,,2024-08-14,NURSING,STRAY,MEDVET,,2024-08-15,RESCUE,,NURSING,CORNWALL DR,SAN JOSE,2024-08-15
A1351446,,CAT,TORTIE-B\O,,DOMESTIC SH,FEMALE,,,2024-08-14,MED SEV,STRAY,OTC,,2024-08-14,EUTH,,MED EMERG,MILL POND DR,SAN JOSE,2024-08-14
A1351454,BOBCAT,KITTEN,BLACK,,MANX,MALE,2024-05-14,0,2024-08-14,MED R,STRAY,OTC,,2024-09-06,RESCUE,,MED R,SINCLAIR DR X KAMMERER AVE,SAN JOSE,2024-09-06
A1351461,,DOG,BLACK,BROWN,MIN PINSCHER,NEUTERED,2023-02-21,1,2024-08-14,HEALTHY,STRAY,OTC,,2024-08-22,ADOPTION,,HEALTHY,SILVERWOOD DR X MANDA DR,SAN JOSE,2024-08-22
A1351482,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2024-08-14,NURSING,STRAY,OTC,,2024-09-08,RTF,,FERAL,WHITTON AVE/S 33RD ST,SAN JOSE,2024-09-08
A1351484,CHARLIE,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-07-24,0,2024-11-30,HEALTHY,RETURN,OTC,,2024-12-12,ADOPTION,,HEALTHY,,SAN JOSE,2024-12-12
A1351484,CHARLIE,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-07-24,0,2024-12-13,HEALTHY,RETURN,OTC,,2024-12-17,ADOPTION,,HEALTHY,,SAN JOSE,2024-12-17
A1351494,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,,2024-08-14,HEALTHY,STRAY,OTC,,2024-08-14,TRANSFER,,HEALTHY,MONTERE RD / UMBARGER,SAN JOSE,2024-08-14
A1351499,MAX,DOG,CREAM,,SCHNAUZER MIN,MALE,2022-08-17,1,2024-08-14,HEALTHY,STRAY,OTC,,2024-08-17,RTO,,HEALTHY,MONTEREY RD / LEWIS RD,SAN JOSE,2024-08-17
A1351508,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2024-08-15,PREGNANT,STRAY,OTC,,2024-08-15,RTF,,FERAL,FLORENCE AVE X S CAPITOL AVE,SAN JOSE,2024-12-26
A1351509,MARSHMELLOW,DOG,WHITE,,MALTESE,MALE,,,2024-08-15,HEALTHY,STRAY,OTC,,2024-08-15,RTO,,HEALTHY,PALISADE DR X RIVER FALLS DR,SAN JOSE,2024-08-15
A1351510,,DOG,BLACK,BROWN,CAVALIER SPAN,SPAYED,2014-08-16,10,2024-08-15,MED R,STRAY,OTC,,2024-08-20,EUTH,,MED SEV,N CAPITOL AVE X GREENGATE DR,SAN JOSE,2024-08-20
A1351511,PANINI,PUPPY,BLACK,,FORMOSAN MTN,FEMALE,2024-05-21,0,2024-08-15,HEALTHY,STRAY,OTC,,2024-09-10,EUTH,,MED SEV,ALMADEN EXPY X COLEMAN RD,SAN JOSE,2024-09-10
A1351512,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,,2024-08-15,MED SEV,STRAY,OTC,,2024-08-15,EUTH,,MED SEV,1700 BLOCK FAIRPLACE CT X FAIR AVE,SAN JOSE,2024-08-15
A1351513,AUTUMN,KITTEN,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,2024-06-13,0,2024-08-15,MED R,STRAY,OTC,,2024-10-11,ADOPTION,,HEALTHY,GRAND BLVD X PACIFIC AVE,SAN JOSE,2024-10-11
A1351514,STARFIRE,KITTEN,TABBY-ORG,,DOMESTIC SH,SPAYED,2024-07-07,0,2024-08-15,MED R,STRAY,OTC,,2024-09-11,ADOPTION,,HEALTHY,SKYWAY DR X LYRIC LN,SAN JOSE,2024-09-11
A1351527,BUDDY,DOG,BROWN,,PIT BULL,NEUTERED,2023-11-15,1,2025-01-09,MED R,STRAY,OTC,,2025-01-28,ADOPTION,,MED R,S BASCOM AVE / FRUITDALE AVE,SAN JOSE,2025-01-28
A1351528,,CAT,BLACK,,DOMESTIC MH,UNKNOWN,,,2024-08-15,MED SEV,STRAY,OTC,,2024-08-15,EUTH,,MED SEV,THREADNEEDLE WAY X BEN LOMOND WAY,SAN JOSE,2024-08-15
A1351535,WINTER,DOG,WHITE,,MALTESE,FEMALE,2023-08-15,1,2024-08-15,HEALTHY,STRAY,OTC,,,MISSING,,,RENAISSANCE DR X GROVE CT,SAN JOSE,2026-02-15
A1351544,TNR,KITTEN,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-16,0,2024-08-15,MED R,STRAY,OTC,,2024-08-30,RTF,,MED R,MINUET DR X POETRY DR,SAN JOSE,2024-12-26
A1351546,TNR,KITTEN,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-16,0,2024-08-15,MED R,STRAY,OTC,,2024-08-30,RTF,,MED R,MINUET DR X POETRY DR,SAN JOSE,2024-08-30
A1351549,PIXIE,KITTEN,WHITE,GRAY,DOMESTIC SH,SPAYED,2024-06-07,0,2024-08-15,HEALTHY,STRAY,OTC,,2024-09-03,ADOPTION,,HEALTHY,ROBERTS AVE X DERBE DR,SAN JOSE,2024-09-03
A1351552,CAPTAIN,CAT,BLACK,,DOMESTIC MH,NEUTERED,2024-04-22,0,2024-08-15,HEALTHY,STRAY,OTC,,2024-10-06,ADOPTION,,HEALTHY,SENTER RD X S CAPITOL RD,SAN JOSE,2024-10-06
A1351562,ROMEO,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-04-11,0,2024-08-15,HEALTHY,OWNER SUR,OTC,,2024-09-12,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-12
A1351572,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2021-08-15,3,2024-08-15,MED R,STRAY,MEDVET,,2024-09-04,RTF,,FERAL,2300 BLOCK OF LUCRETIA AVE,SAN JOSE,2024-09-04
A1351581,SUNJOY,KITTEN,TABBY-ORG,BUFF,DOMESTIC SH,SPAYED,2024-06-11,0,2024-08-15,HEALTHY,STRAY,OTC,,2024-09-12,ADOPTION,,HEALTHY,MONTEREY RD,SAN JOSE,2024-09-12
A1351608,,OTHER,BLACK,,SQUIRREL,UNKNOWN,,,2024-08-15,NURSING,STRAY,FIELD,,2024-08-15,TRANSFER,,NURSING,COTTONWOOD,MILPITAS,2024-08-15
A1351611,,DOG,BROWN,WHITE,NORFOLK TERRIER,UNKNOWN,,,2024-08-15,HEALTHY,STRAY,OTC,,2024-08-20,TRANSFER,,HEALTHY,S KING RD/MCKEE,SAN JOSE,2024-08-20
A1351612,,DOG,BROWN,WHITE,NORFOLK TERRIER,UNKNOWN,,,2024-08-15,HEALTHY,STRAY,OTC,,2024-08-20,TRANSFER,,HEALTHY,S KING RD/MCKEE,SAN JOSE,2024-08-20
A1351613,,DOG,BLACK,WHITE,NORFOLK TERRIER,UNKNOWN,,,2024-08-15,HEALTHY,STRAY,OTC,,2024-08-20,TRANSFER,,HEALTHY,S KING RD/MCKEE,SAN JOSE,2024-08-20
A1351615,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,2022-08-15,2,2024-08-15,MED EMERG,STRAY,FIELD,,2024-08-16,DIED,,MED SEV,4000 BLOCK RED MAPLE CT,SAN JOSE,2024-08-16
A1351642,POMELO,KITTEN,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-06-30,0,2024-08-15,FERAL,STRAY,FIELD,,2024-08-31,ADOPTION,,HEALTHY,GLEN ANGUS WAY X TULLY RD,SAN JOSE,2024-08-31
A1351659,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,,,2024-08-15,NURSING,STRAY,OTC,,2024-08-18,RESCUE,,NURSING,MCLAUGHLIN AVE X SUNNY CT,SAN JOSE,2024-08-18
A1351661,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,,2024-08-15,NURSING,STRAY,OTC,,2024-08-18,RESCUE,,NURSING,MCLAUGHLIN AVE X SUNNY CT,SAN JOSE,2024-08-18
A1351663,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2018-08-15,6,2024-08-15,MED R,STRAY,OTC,,2024-08-26,RTF,,MED R,ELLMAR OAKS DR / ELLMAR OAKS CT,SAN JOSE,2024-08-26
A1351671,JINX,DOG,BLACK,WHITE,CHIHUAHUA SH,NEUTERED,2021-08-24,2,2024-08-15,HEALTHY,STRAY,OTC,,2024-08-29,ADOPTION,,,OAKLAND AVE,SAN JOSE,2024-08-29
A1351684,,CAT,BLACK,,DOMESTIC SH,SPAYED,,,2024-08-15,PREGNANT,STRAY,OTC,,2024-08-22,RTF,,FERAL,BERNAL ROAD/85 ON RAMP,SAN JOSE,2024-08-22
A1351711,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2023-04-16,1,2024-08-16,MED R,STRAY,OTC,IP ADOPT,2024-08-17,EUTH,,MED SEV,INTERBAY DR X MENDOTA WAY,SAN JOSE,2025-04-03
A1351712,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,,2024-08-16,MED SEV,STRAY,OTC,,2024-08-16,EUTH,,MED SEV,BLOSSOM HILL RD X SNELL AVE,SAN JOSE,2024-08-19
A1351719,,CAT,ORANGE,,DOMESTIC SH,UNKNOWN,,,2024-08-16,MED SEV,STRAY,FIELD,,2024-08-16,EUTH,,MED SEV,S KING RD,SAN JOSE,2024-08-16
A1351741,SHADOW,KITTEN,GRAY,,DOMESTIC SH,SPAYED,2024-06-26,0,2024-08-16,HEALTHY,STRAY,OTC,,2024-09-06,ADOPTION,,HEALTHY,MUIRWOOD CT X TRIMBLE RD,SAN JOSE,2024-09-06
A1351744,,KITTEN,TABBY-GRAY,,DOMESTIC SH,FEMALE,2024-07-24,0,2024-08-16,NURSING,STRAY,OTC,,2024-10-10,TRANSFER,,NURSING,SINGLETON RD/HAGA DR,SAN JOSE,2024-10-10
A1351748,,OTHER,GREEN,YELLOW,BUDGERIGAR,UNKNOWN,,,2024-08-16,HEALTHY,STRAY,OTC,,2024-08-17,TRANSFER,,HEALTHY,SUMMERSIDE DR/LUCRETIA AVE,SAN JOSE,2024-08-17
A1351755,CANELO,KITTEN,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-06-07,0,2024-08-16,MED EMERG,STRAY,OTC,,2024-08-28,ADOPTION,,HEALTHY,VINE ST/ W HUMBOLT ST,SAN JOSE,2024-08-28
A1351764,OREO,PUPPY,BLACK,WHITE,BORDER TERRIER,FEMALE,2024-05-16,0,2024-08-16,HEALTHY,STRAY,FIELD,,2024-08-16,RTO,,,MCLAUGHLIN X BACCHUS,SAN JOSE,2024-08-16
A1351765,MIA,DOG,TAN,WHITE,CHIHUAHUA SH,FEMALE,,,2024-08-16,HEALTHY,STRAY,FIELD,,2024-08-16,RTO,,,MCLAUGHLIN X BACCHUS,SAN JOSE,2024-08-16
A1351778,LOKI,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,2024-02-26,0,2024-08-16,HEALTHY,STRAY,OTC,,2024-09-13,ADOPTION,,HEALTHY,PALM VALLEY BLVD X LA STRADA DR,SAN JOSE,2024-09-18
A1351779,DUNKAROO,DOG,BLACK,TAN,STAFFORDSHIRE,NEUTERED,2023-08-18,0,2024-08-16,HEALTHY,STRAY,OTC,,2024-09-28,ADOPTION,,,STORY RD/ SENTER RD,SAN JOSE,2024-09-28
